"","V1","year","month","week","rank","difference","title","singer","album","like","dif","issue_date"
"1",3,2012,1,2012-01-01,4,"NEW","Lovey-Dovey","티아라","Funky Town",31452,0,20120103
"2",10,2012,1,2012-01-01,11,"NEW","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,0,20120104
"3",12,2012,1,2012-01-01,13,"NEW","너니까","이현","The Healing Echo",4960,0,20120102
"4",65,2012,1,2012-01-01,66,"NEW","사랑이 뭐길래","일 락","사랑이 뭐길래",509,0,20120103
"5",88,2012,1,2012-01-01,89,"NEW","말하지마 (Narr. 장지은)","FIX","말하지마",599,0,20120104
"6",89,2012,1,2012-01-01,90,"NEW","마녀가 된 이유","NS 윤지","Neo Spirit",14553,0,20120105
"7",0,2012,1,2012-01-08,1,"NEW","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,0,20120107
"8",1,2012,1,2012-01-08,2,"상승","Lovey-Dovey","티아라","Funky Town",31452,2,20120103
"9",3,2012,1,2012-01-08,4,"상승","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,7,20120104
"10",7,2012,1,2012-01-08,8,"NEW","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,0,20120107
"11",10,2012,1,2012-01-08,11,"NEW","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,0,20120107
"12",11,2012,1,2012-01-08,12,"NEW","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,0,20120107
"13",14,2012,1,2012-01-08,15,"NEW","Like You (Feat. 아이유)","원티드","VINTAGE",12765,0,20120120
"14",16,2012,1,2012-01-08,17,"NEW","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈","무한도전 나름 가수다",5422,0,20120107
"15",18,2012,1,2012-01-08,19,"NEW","광대 (Feat. 김범수)","박명수","무한도전 나름 가수다",4474,0,20120107
"16",23,2012,1,2012-01-08,24,"하락","너니까","이현","The Healing Echo",4960,-11,20120102
"17",24,2012,1,2012-01-08,25,"NEW","사랑의 서약 (Feat. 다이나믹 듀오, 노라조)","노홍철","무한도전 나름 가수다",4616,0,20120107
"18",30,2012,1,2012-01-08,31,"NEW","예쁜게 다니","살찐고양이","예쁜게 다니",7323,0,20120106
"19",38,2012,1,2012-01-08,39,"상승","마녀가 된 이유","NS 윤지","Neo Spirit",14553,51,20120105
"20",42,2012,1,2012-01-08,43,"NEW","사랑이 뭐길래 (Feat. Simon D)","피기돌스","사랑이 뭐길래",893,0,20120109
"21",58,2012,1,2012-01-08,59,"NEW","뉴스 (News)","나인뮤지스","NEWS",14267,0,20120111
"22",65,2012,1,2012-01-08,66,"NEW","이별연습 (인순이)","신효범","[나는 가수다] 경연 14-1",1099,0,20120108
"23",69,2012,1,2012-01-08,70,"NEW","독하게","스피카","독하게",3051,0,20120110
"24",73,2012,1,2012-01-08,74,"NEW","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,0,20120112
"25",75,2012,1,2012-01-08,76,"NEW","베짱이 찬가","써니힐","The Grasshoppers",28004,0,20120113
"26",80,2012,1,2012-01-08,81,"상승","말하지마 (Narr. 장지은)","FIX","말하지마",599,8,20120104
"27",85,2012,1,2012-01-08,86,"하락","사랑이 뭐길래","일 락","사랑이 뭐길래",509,-20,20120103
"28",89,2012,1,2012-01-08,90,"NEW","참고 살아 (be...)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",24789,0,20120104
"29",93,2012,1,2012-01-08,94,"NEW","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,0,20120112
"30",95,2012,1,2012-01-08,96,"NEW","그녀가 온다","카오스","그녀가 온다",300,0,20120106
"31",0,2012,1,2012-01-15,1,"상승","Lovey-Dovey","티아라","Funky Town",31452,1,20120103
"32",1,2012,1,2012-01-15,2,"상승","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,2,20120104
"33",2,2012,1,2012-01-15,3,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-2,20120107
"34",7,2012,1,2012-01-15,8,"상승","베짱이 찬가","써니힐","The Grasshoppers",28004,68,20120113
"35",13,2012,1,2012-01-15,14,"하락","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,-6,20120107
"36",16,2012,1,2012-01-15,17,"하락","Like You (Feat. 아이유)","원티드","VINTAGE",12765,-2,20120120
"37",19,2012,1,2012-01-15,20,"NEW","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,0,20120117
"38",20,2012,1,2012-01-15,21,"상승","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,53,20120112
"39",22,2012,1,2012-01-15,23,"NEW","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,0,20120119
"40",23,2012,1,2012-01-15,24,"하락","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,-13,20120107
"41",25,2012,1,2012-01-15,26,"하락","너니까","이현","The Healing Echo",4960,-2,20120102
"42",27,2012,1,2012-01-15,28,"하락","삼바의 매력 (Feat. 개리, 정인)","길","무한도전 나름 가수다",5373,-16,20120107
"43",31,2012,1,2012-01-15,32,"NEW","사랑시 고백구 행복동","제이세라","Love City",22233,0,20120112
"44",32,2012,1,2012-01-15,33,"하락","영계백숙 (Feat. 뮤지컬 & 앙상블 13인)","정형돈","무한도전 나름 가수다",5422,-16,20120107
"45",34,2012,1,2012-01-15,35,"상승","뉴스 (News)","나인뮤지스","NEWS",14267,24,20120111
"46",35,2012,1,2012-01-15,36,"하락","예쁜게 다니","살찐고양이","예쁜게 다니",7323,-5,20120106
"47",38,2012,1,2012-01-15,39,"하락","광대 (Feat. 김범수)","박명수","무한도전 나름 가수다",4474,-20,20120107
"48",40,2012,1,2012-01-15,41,"NEW","Only U (Feat. 동해 Of 슈퍼주니어)","애즈원","Only U (Feat. 동해 Of 슈퍼주니어)",2275,0,20120116
"49",43,2012,1,2012-01-15,44,"상승","호이 호이 (Hoi Hoi)","레인보우 픽시","호이 호이 (Hoi Hoi)",4470,50,20120112
"50",49,2012,1,2012-01-15,50,"하락","마녀가 된 이유","NS 윤지","Neo Spirit",14553,-11,20120105
"51",50,2012,1,2012-01-15,51,"하락","사랑의 서약 (Feat. 다이나믹 듀오, 노라조)","노홍철","무한도전 나름 가수다",4616,-26,20120107
"52",56,2012,1,2012-01-15,57,"NEW","가지마","환희","빠담빠담 OST Part.3",3513,0,20120116
"53",70,2012,1,2012-01-15,71,"NEW","전부이니까","나윤권","총각네 야채가게 OST Part.2",1836,0,20120112
"54",72,2012,1,2012-01-15,73,"하락","사랑이 뭐길래 (Feat. Simon D)","피기돌스","사랑이 뭐길래",893,-30,20120109
"55",75,2012,1,2012-01-15,76,"NEW","이 사랑이 마지막이다","빅마마 소울","이 사랑이 마지막이다",249,0,20120113
"56",77,2012,1,2012-01-15,78,"하락","독하게","스피카","독하게",3051,-8,20120110
"57",79,2012,1,2012-01-15,80,"NEW","달빛이 지고","해오라","해를 품은 달 OST Part.1",7303,0,20120111
"58",86,2012,1,2012-01-15,87,"NEW","잊어요","영준 (브라운 아이드 소울)","Easy",4538,0,20120120
"59",88,2012,1,2012-01-15,89,"NEW","추워요","송지은","부탁해요 캡틴 OST Part.2",2464,0,20120119
"60",90,2012,1,2012-01-15,91,"NEW","성냥팔이 소녀 (Feat. 미스티)","윤건","샐러리맨 초한지 OST Part.1",1608,0,20120102
"61",91,2012,1,2012-01-15,92,"하락","참고 살아 (be...)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",24789,-2,20120104
"62",92,2012,1,2012-01-15,93,"NEW","도망쳐","김연지","M/PROJECT Vol.1",2246,0,20120113
"63",94,2012,1,2012-01-15,95,"NEW","풍문으로 들었소","장기하와 얼굴들","범죄와의 전쟁: 나쁜놈들 전성시대 OST",28451,0,20120113
"64",97,2012,1,2012-01-15,98,"NEW","너에게로 간다","원티드","VINTAGE",12941,0,20120120
"65",0,2012,1,2012-01-22,1,"동일","Lovey-Dovey","티아라","Funky Town",31452,0,20120103
"66",1,2012,1,2012-01-22,2,"상승","시간을 거슬러","린","해를 품은 달 OST Part.2",20938,18,20120117
"67",2,2012,1,2012-01-22,3,"상승","널 사랑하겠어","효린","사랑을 보다 2 OST",32640,20,20120119
"68",4,2012,1,2012-01-22,5,"하락","거기서거기 (Without You)","다이나믹 듀오","Dynamicduo 6th Digilog 2/2",59159,-3,20120104
"69",7,2012,1,2012-01-22,8,"하락","키 큰 노총각 이야기","정준하","무한도전 나름 가수다",21448,-5,20120107
"70",9,2012,1,2012-01-22,10,"하락","베짱이 찬가","써니힐","The Grasshoppers",28004,-2,20120113
"71",14,2012,1,2012-01-22,15,"상승","너에게로 간다","원티드","VINTAGE",12941,83,20120120
"72",15,2012,1,2012-01-22,16,"NEW","이럴 줄 알았어","비스트","이럴 줄 알았어",32706,0,20120126
"73",20,2012,1,2012-01-22,21,"상승","잊어요","영준 (브라운 아이드 소울)","Easy",4538,66,20120120
"74",22,2012,1,2012-01-22,23,"하락","더위 먹은 갈매기 (Feat. 송은이, 김숙)","유재석","무한도전 나름 가수다",9914,-9,20120107
"75",23,2012,1,2012-01-22,24,"하락","Like You (Feat. 아이유)","원티드","VINTAGE",12765,-7,20120120
"76",26,2012,1,2012-01-22,27,"하락","The DJ Is Mine","원더걸스","The DJ Is Mine",5483,-6,20120112
"77",27,2012,1,2012-01-22,28,"NEW","눈물길","휘성 (Realslow)","해를 품은 달 OST Part.3",7730,0,20120126
"78",29,2012,1,2012-01-22,30,"하락","바보에게 바보가 (Feat. 스컬)","하하","무한도전 나름 가수다",10008,-6,20120107
"79",32,2012,1,2012-01-22,33,"하락","너니까","이현","The Healing Echo",4960,-7,20120102
"80",33,2012,1,2012-01-22,34,"NEW","내가 사랑한 너 너를 사랑한 나 (Duet 비비안)","태사비애","내가 사랑한 너 너를 사랑한 나",1395,0,20120120
"81",36,2012,1,2012-01-22,37,"하락","사랑시 고백구 행복동","제이세라","Love City",22233,-5,20120112
"82",37,2012,1,2012-01-22,38,"상승","추워요","송지은","부탁해요 캡틴 OST Part.2",2464,51,20120119
"83",39,2012,1,2012-01-22,40,"하락","뉴스 (News)","나인뮤지스","NEWS",14267,-5,20120111
"84",42,2012,1,2012-01-22,43,"하락","예쁜게 다니","살찐고양이","예쁜게 다니",7323,-7,20120106
