"","title","singer","pc","hc"
"1","#첫사랑","볼빨간사춘기",2,1
"2","#화이트 스타일 (Feat. 김호연 Of 달 좋은밤)","키썸 (Kisum)",5,2
"3","..IS YOU","XIA (준수)",5,2
"4","? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)","프라이머리",2,3
"5","￦ & ONLY (WON & ONLY) (Feat. 박재범)","사이먼 도미닉",4,2
"6","00:00 (Zero O’Clock)","방탄소년단",1,1
"7","1 of 1","SHINee (샤이니)",4,2
"8","1,2,3,4 (원,투,쓰리,포)","이하이",2,1
"9","1004 (Angel)","B.A.P",5,2
"10","10월의 날씨","10CM",4,2
"11","11 (Prod. 다이나믹듀오)","Wanna One (워너원) - 남바완",4,2
"12","11:11","태연 (TAEYEON)",2,1
"13","12시 30분","비스트",2,1
"14","1440","허각",1,1
"15","180도","벤",2,3
"16","1cm의 자존심","마마무 (Mamamoo)",1,1
"17","1llusion","Dok2",1,2
"18","1년 365일 (Feat. 거미)","바이브",5,2
"19","1도 없어","Apink (에이핑크)",2,1
"20","1분 1초","지연",5,2
"21","2 Years Apart","에디킴",4,2
"22","200%","AKMU (악동뮤지션)",2,1
"23","2013 원하고 원망하죠","애즈원",5,2
"24","21세기 소녀","방탄소년단",4,2
"25","24/7","2YOON (포미닛 투윤)",5,2
"26","24시간이 모자라","선미",1,2
"27","25","볼빨간사춘기",4,2
"28","2HOT","지나",1,1
"29","30 Sexy","비",4,2
"30","4 Walls","f(x)",1,2
"31","5월의 밤","Zion.T",5,2
"32","7월 7일 (One Of These Nights)","Red Velvet (레드벨벳)",5,2
"33","A","GOT7 (갓세븐)",4,2
"34","A-TEEN","세븐틴",1,2
"35","a Good Boy","백아연",1,2
"36","A Real Lady (Feat. Beenzino, Gray & Zion.T)","스윙스",5,2
"37","A Supplementary Story : You Never Walk Alone","방탄소년단",4,2
"38","Adios (Prod. BOYCOLD)","김하온 (HAON)",5,2
"39","Ah-Choo","러블리즈",3,3
"40","AH YEAH (아예)","WINNER",1,1
"41","AIR","WINNER",4,2
"42","AIRPLANE","iKON",5,2
"43","All About","멜로디데이 (MelodyDay)",5,2
"44","All I Wanna Do (K) (Feat. Hoody, Loco)","박재범",3,3
"45","All Mine","f(x)",4,2
"46","all of my life","박원",3,3
"47","All Right","Lim Kim",2,1
"48","ALWAYS","윤미래",2,1
"49","Always be there","브라운 아이드 소울",1,2
"50","Am I Wrong","방탄소년단",4,1
"51","Amanda (Feat. Simon Dominic) (Prod. By UNTITLEDS)","염따",4,2
"52","And July (Feat. DEAN, DJ Friz)","헤이즈 (Heize)",5,3
"53","And...그리고","백지영",4,2
"54","Angel","타이거JK, 윤미래, 비지 (Bizzy)",2,1
"55","ANTI (Feat. G.Soul)","지코 (ZICO)",5,2
"56","ANYMORE","서인영",5,2
"57","Apple (Feat. 박재범)","가인",2,1
"58","Artist","지코 (ZICO)",2,1
"59","Awake","방탄소년단",4,2
"60","AWESOME (Feat. 박재범 & GRAY)","로꼬",5,2
"61","BAAAM (Feat. Muzie Of UV)","다이나믹 듀오",2,1
"62","BAAM","모모랜드 (MOMOLAND)",1,1
"63","Babay (Feat. Gaeko)","Zion.T",1,1
"64","Baby","존박",5,2
"65","BABY BABY","WINNER",1,2
"66","Baby I Miss You","2NE1",4,2
"67","Back","인피니트",5,2
"68","Bad","인피니트",5,2
"69","Bad Boy","Red Velvet (레드벨벳)",2,1
"70","Bad Girls","이효리",2,2
"71","BAE BAE","BIGBANG",2,1
"72","BE I","B.I",1,1
"73","Be OK (Feat. 배치기)","유성은",2,1
"74","Beautiful","Crush",2,3
"75","Beautiful","Wanna One (워너원)",2,3
"76","Beautiful Tomorrow","박효신",4,2
"77","Because I Love You","바이브",5,2
"78","Because of You","윤미래",4,2
"79","Because Of You","백지영",1,2
"80","Beep","박지윤",5,2
"81","Begin","방탄소년단",4,2
"82","BERMUDA TRIANGLE (Feat. Crush, DEAN)","지코 (ZICO)",1,1
"83","BIRTHDAY","전소미",5,2
"84","Black (Feat. 스윙스)","40",4,2
"85","Black Out","아이유",4,2
"86","Black Paradise","비스트",4,2
"87","Black Swan","방탄소년단",1,3
"88","blu (Feat. Babylon)","아이언",4,2
"89","Blue","볼빨간사춘기",2,1
"90","Blue","태연 (TAEYEON)",4,2
"91","Blueming","아이유",2,3
"92","BOMB (Feat. B.I, BOBBY)","싸이 (PSY)",4,2
"93","Boogie On & On","빈지노 (Beenzino)",4,1
"94","BOOMERANG (부메랑)","Wanna One (워너원)",1,1
"95","Bounce","JJ Project",4,2
"96","Bounce","조용필",1,1
"97","Boys And Girls (Feat. Babylon)","지코 (ZICO)",2,3
"98","Break","빈지노 (Beenzino)",5,1
"99","BUBIBU (Remix Ver.)","Apink (에이핑크)",4,2
"100","BURNING","팬텀",4,2
"101","Butterfly","방탄소년단",4,2
"102","Butterfly","비스트",5,2
"103","Bye Bye Love","2BIC(투빅)",5,2
"104","Call My Name","소울스타 (SOULSTAR)",4,2
"105","CALLING YOU","하이라이트 (Highlight)",1,2
"106","Carry On","알리 (ALi)",4,2
"107","Catch Me","동방신기 (TVXQ!)",5,2
"108","Cereal (Feat. ZICO)","Crush",5,2
"109","Cha Cha","레인보우 블랙",5,2
"110","CHEER UP","TWICE (트와이스)",2,3
"111","Cherish","EXO-CBX (첸백시)",4,2
"112","Come Back Home","2NE1",2,1
"113","Complex (feat. G-DRAGON)","Zion.T",2,2
"114","Cosmic Girl","김태우",1,2
"115","Crescendo (크레셴도)","AKMU (악동뮤지션)",2,1
"116","Crush","2NE1",1,2
"117","Crush","아이오아이 (I.O.I)",5,2
"118","Crying","씨스타",5,1
"119","DADDY (Feat. CL of 2NE1)","싸이 (PSY)",2,1
"120","Dali, Van, Picasso","빈지노 (Beenzino)",1,1
"121","Dance The Night Away","TWICE (트와이스)",2,3
"122","DARLING","태양",5,2
"123","DAY BY DAY","티아라",2,1
"124","Day Day (Feat. 박재범) (Prod. by GRAY)","BewhY (비와이)",2,3
"125","Decalcomanie (데칼코마니)","마마무 (Mamamoo)",2,3
"126","Dejavu","뉴이스트 W",4,2
"127","Delicious","투하트 (우현, 키)",5,2
"128","Destiny","인피니트",1,2
"129","Destiny (나의 지구)","러블리즈",4,2
"130","Devil","SUPER JUNIOR (슈퍼주니어)",4,2
"131","Different","WINNER",4,2
"132","DINOSAUR","AKMU (악동뮤지션)",5,1
"133","Dionysus","방탄소년단",5,1
"134","DIRTY","미료",5,2
"135","DO YOU LOVE ME","2NE1",1,2
"136","Done For Me","펀치 (Punch)",2,1
"137","DOOM DADA","T.O.P",1,1
"138","Downtown Baby","블루 (BLOO)",2,3
"139","Dream (Feat. XIA of JYJ)","싸이 (PSY)",1,2
"140","Dumb Dumb","Red Velvet (레드벨벳)",2,1
"141","E.R  (Feat. The Channels)","MC몽",5,2
"142","EASY (Feat. 식케이)","휘인 (Whee In)",4,2
"143","Error","VIXX (빅스)",4,2
"144","EVERYDAY","WINNER",2,1
"145","FAKE LOVE (Rocking Vibe Mix)","방탄소년단",4,2
"146","Fall","EXO",4,2
"147","Falling","박진영",5,2
"148","Falling","존박",2,1
"149","Falling For You","EXO",4,2
"150","Falling In Love","2NE1",2,2
"151","FANCY","TWICE (트와이스)",2,1
"152","FANXY CHILD (Feat. FANXY CHILD)","지코 (ZICO)",5,1
"153","Feel So Good (Feat. 홍대광)","임정희",5,2
"154","Feel Special","TWICE (트와이스)",1,1
"155","FEVER (Feat. 수퍼비, BIBI)","박진영",4,2
"156","FIESTA","IZ*ONE (아이즈원)",1,3
"157","Filter","방탄소년단",5,1
"158","Fine","태연 (TAEYEON)",2,1
"159","Fine Thank You And You?","10CM",1,2
"160","Fingertips","Pinkrush",5,2
"161","First Love","방탄소년단",4,2
"162","FIRST LOVE","EXO",4,2
"163","FIVE","Apink (에이핑크)",2,1
"164","FLASH","X1 (엑스원)",4,2
"165","Flashback","애프터스쿨",5,1
"166","Flower","용준형",4,2
"167","Flower","윤미래",3,1
"168","FLOWER SHOWER","현아",4,2
"169","Fly","긱스 (Geeks)",2,2
"170","Fly (Feat. Fabolous)","Jessica (제시카)",5,2
"171","FOOL","WINNER",5,2
"172","For Life","EXO",1,2
"173","Forever","EXO",4,2
"174","Forever (Prod. By GRAY)","BewhY (비와이)",2,1
"175","Forever Young","BLACKPINK",2,1
"176","FREEDOM","AKMU (악동뮤지션)",5,2
"177","Friend","비투비",5,2
"178","Galaxy","AKMU (악동뮤지션)",5,2
"179","GENTLEMAN","싸이 (PSY)",2,1
"180","Get (Feat. Beenzino)","어반자카파",5,2
"181","Girl Crush","마마무 (Mamamoo)",5,2
"182","Girl x Friend","EXO",4,2
"183","Girlfriend","원더걸스",5,2
"184","GIRLFRIEND","BIGBANG",1,1
"185","Give It To Me","씨스타",2,1
"186","Give Love","AKMU (악동뮤지션)",2,1
"187","Gloomy Star (Feat. 1ho, Chan)","공기남",4,2
"188","GO HIGH (Feat. 우원재, 창모 (CHANGMO), The Quiett) (Prod. CODE KUNST)","이영지",4,2
"189","Going Home","디셈버",4,2
"190","GOLD","Wanna One (워너원)",4,2
"191","Good-night Kiss","전효성",1,1
"192","GOOD BOY","GD X TAEYANG",1,1
"193","Good Boy (Feat. 용준형 Of 비스트)","백지영",2,1
"194","Good For You","에릭남 (Eric Nam)",4,2
"195","Good Luck","AOA",2,1
"196","Good Luck","비스트",2,1
"197","Good Morning Baby","Apink (에이핑크)",1,2
"198","Good Night","EXO",4,2
"199","Goodbye","박효신",2,1
"200","Goodbye","웬디 (WENDY)",4,2
"201","Goodbye sun, Goodbye moon (With 이수현 of 악동뮤지션)","토이",5,2
"202","Goodbye To Romance","써니힐",1,1
"203","Happy","2NE1",5,2
"204","HAPPY TOGETHER","박효신",2,1
"205","Hate You (Feat. 우원재) (Prod. 코드 쿤스트)","pH-1",5,2
"206","Healing","유성은",4,2
"207","Heart Shaker","TWICE (트와이스)",1,3
"208","Hello","Adele",2,1
"209","Hello (Feat. 버벌진트)","조용필",2,2
"210","Hello Bitches","CL",4,2
"211","Hello Bubble","걸스데이",5,2
"212","Hello To Myself","핫펠트 (HA:TFELT)",5,2
"213","HER","블락비 (Block B)",1,1
"214","HERE (Feat. 빈첸 (VINXEN)) (Prod. CODE KUNST)","김민규 (Young Kay)",4,2
"215","Heu ! (Full Ver.)","수퍼비",4,2
"216","Hey Mama!","EXO-CBX (첸백시)",5,2
"217","Hey You","CNBLUE (씨엔블루)",5,2
"218","High High","김태우",5,1
"219","HIP","마마무 (Mamamoo)",1,3
"220","Hit U","달샤벳",5,2
"221","HOLIDAY (Feat. DPR LIVE)","수지 (SUZY)",4,2
"222","Home","로이킴",1,2
"223","Home","박효신",5,2
"224","HOME","방탄소년단",3,2
"225","Hooka","혁오 (HYUKOH)",3,2
"226","HOT PINK","EXID",2,1
"227","How Can I Love You","XIA (준수)",2,1
"228","How Do I Look ?","빈지노 (Beenzino)",5,2
"229","Hug Me (Feat. Gaeko)","Crush",5,2
"230","Hush","미쓰에이",1,1
"231","HUSH","Apink (에이핑크)",1,2
"232","I (Feat. 버벌진트)","태연 (TAEYEON)",2,1
"233","I Dance (Feat. 유빈 Of 원더걸스)","아이비",5,2
"234","I Do I Do","시크릿",4,2
"235","I Dream","15& (박지민, 백예린)",5,2
"236","I Feel You","원더걸스",2,1
"237","I Feel You","홍대광",4,2
"238","I Just Wanna Dance","티파니 (TIFFANY)",4,2
"239","I Like 2 Party","박재범",5,2
"240","I Like That","씨스타",2,1
"241","I Love You","2NE1",2,1
"242","I Love You","AKMU (악동뮤지션)",2,1
"243","I Love You Boy","수지 (SUZY)",4,2
"244","I LUV IT","싸이 (PSY)",2,1
"245","I Miss You","마마무 (Mamamoo)",2,1
"246","I Miss You","소유 (SOYOU)",1,1
"247","I NEED U","방탄소년단",5,1
"248","I Remember You (Feat. Zion.T)","싸이 (PSY)",1,2
"249","Ice Cream (Feat. Maboos)","현아",1,1
"250","IF YOU","BIGBANG",2,1
"251","If You Love Me (Feat. 박재범)","NS 윤지",5,1
"252","Incredible (Feat. Quincy)","XIA (준수)",5,2
"253","Inner Child","방탄소년단",4,1
"254","instagram","DEAN",2,1
"255","Interlude : Shadow","방탄소년단",4,1
"256","Intro : Persona","방탄소년단",4,2
"257","Is You (Feat. 박정현)","긱스 (Geeks)",5,2
"258","JACKPOT","블락비 (Block B)",1,1
"259","Jamais Vu","방탄소년단",5,2
"260","Jenga (Feat. Gaeko)","헤이즈 (Heize)",1,1
"261","Kill Bill","브라운아이드걸스",2,2
"262","Kill This Love","BLACKPINK",2,1
"263","KNOCK KNOCK","TWICE (트와이스)",2,1
"264","Know Your Name (Feat. Dok2)","박재범",5,2
"265","Ko Ko Bop","EXO",1,1
"266","L.I.E","EXID",1,1
"267","La Song","비",2,1
"268","LAST DANCE","BIGBANG",2,1
"269","Last Romeo","인피니트",5,2
"270","LATATA","(여자)아이들",3,1
"271","Lead Me","씨스타",4,2
"272","Lie","방탄소년단",4,2
"273","Lights Out","EXO",4,2
"274","LIGHTSABER","EXO",4,2
"275","Like Money (Feat. Akon)","원더걸스",5,2
"276","Like this","원더걸스",2,1
"277","Like You (Feat. 아이유)","원티드",5,2
"278","LIKEY","TWICE (트와이스)",2,3
"279","LION","(여자)아이들",5,1
